Date_Time,Date,Time,Month,Weekday,Day,Day_in_Year,Week,Weekend,Electric_Use,hour,Season,TOU,TOU_Rate,TOU_Cost,Regular_Rate,Regular_Cost,Mean,Max,Min,Minute,elapsed_time
2016-01-02T14:00:00Z,2016-01-02,14:00:00,Jan,Sat,2,2,1,1,0.272466667,14,Winter,Mid-Peak,0.1043,0.014209137,0.11742,0.015996518,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T14:30:00Z,2016-01-02,14:30:00,Jan,Sat,2,2,1,1,0.238645,14,Winter,Mid-Peak,0.1043,0.012445337,0.11742,0.014010848,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T15:00:00Z,2016-01-02,15:00:00,Jan,Sat,2,2,1,1,0.33464,15,Winter,Mid-Peak,0.1043,0.017451476,0.11742,0.019646714,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T15:30:00Z,2016-01-02,15:30:00,Jan,Sat,2,2,1,1,0.435859444,15,Winter,Mid-Peak,0.1043,0.02273007,0.11742,0.025589308,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T16:00:00Z,2016-01-02,16:00:00,Jan,Sat,2,2,1,1,0.756875,16,Winter,Mid-Peak,0.1043,0.039471031,0.11742,0.044436131,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T16:30:00Z,2016-01-02,16:30:00,Jan,Sat,2,2,1,1,0.800912222,16,Winter,Mid-Peak,0.1043,0.041767572,0.11742,0.047021557,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T17:00:00Z,2016-01-02,17:00:00,Jan,Sat,2,2,1,1,0.458790556,17,Winter,Mid-Peak,0.1043,0.023925927,0.11742,0.026935594,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T17:30:00Z,2016-01-02,17:30:00,Jan,Sat,2,2,1,1,0.665031667,17,Winter,Mid-Peak,0.1043,0.034681401,0.11742,0.039044009,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T18:00:00Z,2016-01-02,18:00:00,Jan,Sat,2,2,1,1,0.553035,18,Winter,Mid-Peak,0.1043,0.028840775,0.11742,0.032468685,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T18:30:00Z,2016-01-02,18:30:00,Jan,Sat,2,2,1,1,0.343178333,18,Winter,Mid-Peak,0.1043,0.01789675,0.11742,0.020148,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T19:00:00Z,2016-01-02,19:00:00,Jan,Sat,2,2,1,1,0.620389444,19,Winter,Mid-Peak,0.1043,0.03235331,0.11742,0.036423064,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T19:30:00Z,2016-01-02,19:30:00,Jan,Sat,2,2,1,1,0.533968333,19,Winter,Mid-Peak,0.1043,0.027846449,0.11742,0.031349281,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T20:00:00Z,2016-01-02,20:00:00,Jan,Sat,2,2,1,1,0.511447778,20,Winter,Mid-Peak,0.1043,0.026672002,0.11742,0.030027099,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T20:30:00Z,2016-01-02,20:30:00,Jan,Sat,2,2,1,1,0.464589444,20,Winter,Mid-Peak,0.1043,0.02422834,0.11742,0.027276046,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T21:00:00Z,2016-01-02,21:00:00,Jan,Sat,2,2,1,1,0.560869444,21,Winter,Mid-Peak,0.1043,0.029249342,0.11742,0.032928645,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T21:30:00Z,2016-01-02,21:30:00,Jan,Sat,2,2,1,1,0.463336111,21,Winter,Mid-Peak,0.1043,0.024162978,0.11742,0.027202463,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T22:00:00Z,2016-01-02,22:00:00,Jan,Sat,2,2,1,1,0.468207778,22,Winter,Mid-Peak,0.1043,0.024417036,0.11742,0.027488479,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T22:30:00Z,2016-01-02,22:30:00,Jan,Sat,2,2,1,1,0.526150556,22,Winter,Mid-Peak,0.1043,0.027438751,0.11742,0.030890299,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-02T23:00:00Z,2016-01-02,23:00:00,Jan,Sat,2,2,1,1,0.438022222,23,Winter,Mid-Peak,0.1043,0.022842859,0.11742,0.025716285,0.463840845,0.800912222,0.228559444,0,0.5
2016-01-02T23:30:00Z,2016-01-02,23:30:00,Jan,Sat,2,2,1,1,0.678232222,23,Winter,Mid-Peak,0.1043,0.03536981,0.11742,0.039819014,0.463840845,0.800912222,0.228559444,30,0.5
2016-01-03T00:00:00Z,2016-01-03,00:00:00,Jan,Sun,3,3,1,1,0.520605556,0,Winter,Off-Peak,0.05676,0.014774786,0.11742,0.030564752,0.527923148,1.086616111,0.193113889,0,0.5
2016-01-03T00:30:00Z,2016-01-03,00:30:00,Jan,Sun,3,3,1,1,0.292926667,0,Winter,Off-Peak,0.05676,0.008313259,0.11742,0.017197725,0.527923148,1.086616111,0.193113889,30,0.5
2016-01-03T01:00:00Z,2016-01-03,01:00:00,Jan,Sun,3,3,1,1,0.23892,1,Winter,Off-Peak,0.05676,0.00678055,0.11742,0.014026993,0.527923148,1.086616111,0.193113889,0,0.5
