Date_Time,Date,Time,Coal,Gas,Hydro,Nuclear,Other,Wind,Total,Renewable,NonRenewable,Fossil_Fuel,Clean,Pct_Renew,Pct_Clean,Total_Carbon,Carbon_per_MWh,Carbon_per_kWh
2016-10-29T07:00:00Z,2016-10-29,07:00:00,9249.3,865.7,252.8,2396.9,206.8,4750.8,17722.3,5210.4000000000005,12511.9,10115,7607.300000000001,29.400247146250774,42.92501537610808,9236871.2,521.2004762361544,0.5212004762361544
2016-10-29T08:00:00Z,2016-10-29,08:00:00,9321.1,883.9,277.8,2396.9,206.8,4671.4,17757.899999999998,5156,12601.9,10205,7552.9,29.034964719927476,42.53261928493797,9313242.4,524.4562926922666,0.5244562926922667
2016-10-29T09:00:00Z,2016-10-29,09:00:00,9295.1,824.4,277.8,2396.9,209.2,4381.4,17384.8,4868.4,12516.4,10119.5,7265.299999999999,28.00377341125581,41.79110487322259,9264074.100000001,532.8835592011413,0.5328835592011414
2016-10-29T10:00:00Z,2016-10-29,10:00:00,9293.1,823.3,277.8,2423.9,243.8,4143.5,17205.399999999998,4665.1,12540.3,10116.4,7089,27.11416183291293,41.20218071070711,9261705.64,538.3022562683809,0.5383022562683809
2016-10-29T11:00:00Z,2016-10-29,11:00:00,9275.1,797.1,277.8,2423.9,281.6,4137.9,17193.4,4697.299999999999,12496.1,10072.2,7121.199999999999,27.32036711761489,41.418218618772315,9233761.92,537.0527016180627,0.5370527016180626
2016-10-29T12:00:00Z,2016-10-29,12:00:00,9271.2,758.7,277.8,2423.9,288.3,4295.6,17315.5,4861.700000000001,12453.800000000001,10029.900000000001,7285.6,28.077156305044614,42.07559700846063,9214402.14,532.1476214951922,0.5321476214951922
2016-10-29T13:00:00Z,2016-10-29,13:00:00,9195.5,722.1,277.8,2423.9,283.5,4542.6,17445.4,5103.9000000000005,12341.5,9917.6,7527.800000000001,29.256422896580187,43.150629965492335,9126803.16,523.1638804498607,0.5231638804498607
2016-10-29T14:00:00Z,2016-10-29,14:00:00,9117.1,871,277.8,2423.9,291.3,4883.4,17864.5,5452.5,12412,9988.1,7876.4,30.521425172828792,44.089675053877805,9112034.86,510.0638058719807,0.5100638058719807
2016-10-29T15:00:00Z,2016-10-29,15:00:00,9005.4,915.2,277.8,2424.9,303.8,5237.5,18164.6,5819.1,12345.5,9920.6,8244,32.035387511973845,45.38497957565815,9022707.56,496.7193089856094,0.4967193089856094
2016-10-29T16:00:00Z,2016-10-29,16:00:00,8898.6,914.3,252.8,2424.9,309.6,5434,18234.199999999997,5996.4,12237.8,9812.9,8421.3,32.885456998387646,46.18409362626274,8919749.540000001,489.176906033717,0.489176906033717
2016-10-29T17:00:00Z,2016-10-29,17:00:00,9011.4,1010,241.8,2424.9,276.1,5381.8,18346,5899.700000000001,12446.3,10021.4,8324.6,32.1579635887932,45.3755587048948,9067016.84,494.2230916821105,0.49422309168211054
2016-10-29T18:00:00Z,2016-10-29,18:00:00,9240.5,1065,241.8,2424.9,226.3,5032,18230.5,5500.1,12730.4,10305.5,7925,30.16977043964785,43.47110611338142,9309453.3,510.65265900551276,0.5106526590055127
2016-10-29T19:00:00Z,2016-10-29,19:00:00,9295.1,1138.6,241.8,2425.9,206.8,4607.3,17915.5,5055.9000000000005,12859.6,10433.7,7481.800000000001,28.220814378610704,41.76160308113087,9391827.82,524.2291769696632,0.5242291769696632
2016-10-29T20:00:00Z,2016-10-29,20:00:00,9299.1,1121.3,241.8,2425.9,206.8,4431.8,17726.699999999997,4880.4000000000005,12846.3,10420.4,7306.300000000001,27.531351012878886,41.216357246413615,9388636.040000001,529.6324775620957,0.5296324775620956
2016-10-29T21:00:00Z,2016-10-29,21:00:00,9225.1,619.4,241.8,2425.9,206.8,4418.4,17137.399999999998,4867,12270.4,9844.5,7292.9,28.39987395987723,42.55546348921074,9113479.1,531.7889002999289,0.5317889002999289
2016-10-29T22:00:00Z,2016-10-29,22:00:00,8965.1,312,241.8,2425.9,206.8,4415.9,16567.5,4864.5,11703,9277.1,7290.4,29.361702127659573,44.0042251395805,8738734.26,527.4624572204617,0.5274624572204617
2016-10-29T23:00:00Z,2016-10-29,23:00:00,8645.2,317,241.8,2425.9,182.6,4418.7,16231.2,4843.0999999999995,11388.1,8962.2,7269,29.838212824683318,44.78411947360639,8433471.32,519.5839691458426,0.5195839691458426
2016-10-30T00:00:00Z,2016-10-30,00:00:00,8003,291,241.8,2426.9,158.79999999999998,4306.5,15427.999999999998,4707.1,10720.9,8294,7134,30.510111485610587,46.24060150375941,7806002.399999999,505.96333938294015,0.5059633393829401
2016-10-30T01:00:00Z,2016-10-30,01:00:00,7065.2,292,238.5,2453.9,152.7,4660.5,14862.800000000001,5051.7,9811.1,7357.2,7505.6,33.9888850014802,50.49923298436364,6905558.32,464.6202815081949,0.4646202815081949
2016-10-30T02:00:00Z,2016-10-30,02:00:00,6855.4,293,238.5,2453.9,152.3,4357.8,14350.899999999998,4748.6,9602.3,7148.4,7202.5,33.0892139168972,50.1884899204928,6704431.04,467.1784375892802,0.4671784375892802
2016-10-30T03:00:00Z,2016-10-30,03:00:00,7003.1,293,238.5,2453.9,152.9,4140.3,14281.7,4531.7,9750,7296.1,6985.6,31.730816359396986,48.912944537415015,6846311.66,479.37652100240166,0.47937652100240163
2016-10-30T04:00:00Z,2016-10-30,04:00:00,7030.8,293,238.5,2453.9,154.9,3985.3,14156.400000000001,4378.7,9777.7,7323.8,6832.6,30.930886383543832,48.26509564578565,6872920.28,485.49915797801697,0.48549915797801696
2016-10-30T05:00:00Z,2016-10-30,05:00:00,8089.1,294,238.5,2453.9,170.6,3791.9,15038,4201,10837,8383.1,6654.9,27.935895730815268,44.253890144966086,7889929.860000001,524.6661697034181,0.5246661697034181
2016-10-30T06:00:00Z,2016-10-30,06:00:00,8713.9,348.4,238.5,2453.9,198.89999999999998,3591.1,15544.699999999999,4028.5,11516.199999999999,9062.3,6482.4,25.915585376366224,41.701673239110434,8512231.78,547.597044651875,0.547597044651875
2016-10-30T07:00:00Z,2016-10-30,07:00:00,8977.9,1095.4,249.5,2453.9,208.8,3349.8,16335.3,3808.1000000000004,12527.199999999999,10073.3,6262,23.31209099312532,38.33415976443653,9069560.38,555.2123548389072,0.5552123548389072
2016-10-30T08:00:00Z,2016-10-30,08:00:00,8953.1,1087.6,274.5,2453.9,208.8,3003.4,15981.3,3486.7000000000003,12494.6,10040.7,5940.6,21.817374055927868,37.17219500290965,9042566.020000001,565.8216803388962,0.5658216803388961
2016-10-30T09:00:00Z,2016-10-30,09:00:00,9031.8,1046.5,274.5,2453.9,226.3,2541,15573.999999999998,3041.8,12532.199999999999,10078.3,5495.700000000001,19.531270065493775,35.287658918710676,9101453.98,584.4005380762811,0.5844005380762811
2016-10-30T10:00:00Z,2016-10-30,10:00:00,9035,1072.8,274.5,2453.9,298.1,1950.8,15085.099999999999,2523.4,12561.699999999999,10107.8,4977.3,16.727764482834058,32.994809447733196,9115221.48,604.2533016022434,0.6042533016022433
2016-10-30T11:00:00Z,2016-10-30,11:00:00,9010.5,1005.6,274.5,2453.9,328.3,1683.4,14756.199999999999,2286.2,12470,10016.1,4740.1,15.493148642604465,32.122768734498045,9064363.260000002,614.274898686654,0.614274898686654
2016-10-30T12:00:00Z,2016-10-30,12:00:00,9011.2,1001.5,274.5,2453.9,331,1662.7,14734.800000000001,2268.2,12466.6,10012.7,4722.1,15.39349024079051,32.04726226348508,9063368.620000001,615.0995344354861,0.6150995344354862
2016-10-30T13:00:00Z,2016-10-30,13:00:00,9029.8,998.4000000000001,274.5,2453.9,314.70000000000005,1811.4,14882.699999999999,2400.6000000000004,12482.099999999999,10028.199999999999,4854.5,16.13013767663126,32.618409294012515,9079975.319999998,610.1026910439638,0.6101026910439638
